title,price,rating,reviews,availability
"Lenovo IdeaPad Gaming Chromebook - 2022 - Chromebook Gaming Laptop - Intel Iris XE Graphics - 16"" Display - 8GB Memory - 256GB Storage - Intel i5 12th Gen - Storm Grey",569.99,3.9 out of 5 stars,12 ratings,Out of stock
"Lenovo IdeaPad 15.6"" Laptop Newest, 20GB RAM, 1TB SSD, AMD Dual-core Processor, 15.6 Inch HD Anti-Glare Display, WiFi6 Bluetooth 5.0, 9.5Hr Battery, Windows 11 +GM Accessories",399.98,4.1 out of 5 stars,222 ratings,In Stock
"SGIN Laptop 15.6 Inch, 4GB DDR4 128GB SSD Windows 11 Laptops with Intel Celeron Quad Core J4105(up to 2.5 GHz), Intel UHD Graphics 600, Mini HDMI, WiFi, Webcam, USB3.0, Bluetooth 4.2",259.98,4.5 out of 5 stars,"1,180 ratings",In Stock
"jumper Laptop 16 Inch FHD IPS Display (16:10), Intel Celeron Quad Core J4105, 4GB DDR4 128GB Storage, Windows 11 Laptops Computer with Office 365 1-Year Subscription Included, 4 Stereo Speakers,Gray",279.98,4.4 out of 5 stars,"1,488 ratings",Out of stock
"ASUS Vivobook Go 15 L510 Thin & Light Laptop Computer, 15.6” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 11 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-AS02",189.99,4.3 out of 5 stars,"1,594 ratings",In Stock
"SGIN Laptop 15.6 Inch, 4GB DDR4 128GB SSD Windows 11 Laptops with Intel Celeron Quad Core J4105(up to 2.5 GHz), Intel UHD Graphics 600, Mini HDMI, WiFi, Webcam, USB3.0, Bluetooth 4.2",259.98,4.5 out of 5 stars,"1,180 ratings",In Stock
"ASUS Vivobook Go 15 L510 Thin & Light Laptop Computer, 15.6” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 11 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-AS02",189.99,4.3 out of 5 stars,"1,594 ratings",In Stock
"jumper Laptop 16 Inch FHD IPS Display (16:10), Intel Celeron Quad Core J4105, 4GB DDR4 128GB Storage, Windows 11 Laptops Computer with Office 365 1-Year Subscription Included, 4 Stereo Speakers,Gray",279.98,4.4 out of 5 stars,"1,488 ratings",Out of stock
"Apple MacBook Air with Intel Core i5, 1.6GHz, (13-inch, 4GB,128GB SSD) - Silver (Renewed)",215.00,4.2 out of 5 stars,"1,650 ratings",In Stock.
"Acer Chromebook Spin 314 Convertible Laptop | Intel Pentium Silver N6000 | 14"" HD Corning Gorilla Glass Touch Display | 4GB LPDDR4X | 128GB eMMC | Intel Wi-Fi 6 AX201 | Chrome OS | CP314-1H-P9G7",329.04,4.3 out of 5 stars,473 ratings,In Stock
"HP Chromebook 11a-ne0013dx 11.6 inch MediaTek MT8183 4GB 64GB eMMC Google Chrome OS Installed, Lightweight and Thin Traditional Laptop Notebook PC, USB-C, Camera, Bluetooth, Wifi, Ash Gray (Renewed)",119.95,4.1 out of 5 stars,26 ratings,In Stock.
"HP 15.6in Laptop (Intel Pentium Quad-Core N5000, 4GB RAM, 128GB SSD, HDMI, WiFi, Bluetooth, HD Webcam, Windows 10 S) (Renewed)",229.00,4.4 out of 5 stars,"1,351 ratings",Out of stock
"Newest HP 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Pink(Renewed) (Dale Pink)",216.99,4.2 out of 5 stars,986 ratings,In Stock.
"SAMSUNG 2022 14” FHD(1920 x 1080) Laptop, Windows 11 OS, Qualcomm Octa Core Snapdragon Processor 2.55GHz, 4GB LPDDR4x, 64GB SSD (Renewed)",165.00,4.0 out of 5 stars,309 ratings,Out of stock
"SGIN 17.3 Inch Laptop with 8GB RAM 256GB SSD, 17.3"" Windows 11 Laptops with Intel Celeron Quad Core J4105, FHD 1920x1080, Mini HDMI, Webcam, Dual WI-Fi, Typc-C, Expandable Storage 512GB TF(Black)",399.99,4.3 out of 5 stars,320 ratings,In Stock
"ASUS Chromebook C424, 14.0"" 180 Degree FHD NanoEdge Display, Intel Dual Core Celeron Processor, 4GB LPDDR4 RAM, 128GB Storage, Silver Color, C424MA-AS48F",249.99,Previous page of related Sponsored Products,,In Stock
"SGIN Laptop 12GB RAM 512GB SSD, 15.6 Inch Windows 11 Laptops with Intel Celeron N5095 Quad-Core Processor(up to 2.9 GHz), Full HD 1080P Screen, Mini HDMI, 2.4/5.0G WiFi, Webcam, Bluetooth 4.2, Grey",359.99,4.4 out of 5 stars,"1,253 ratings",In Stock
